,Name,Ratings,Price,Features
31,"Apple iPhone 12 Pro Max (Gold, 256 GB)",382 Ratings & 34 Reviews,"₹1,39,900","256 GB ROM,  17.02 cm (6.7 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield | IP68 Water Resistance,  All Screen OLED Display,  LiDAR Scanner for Improved AR Experiences,  Brand Warranty for 1 Year"
32,"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)","82,341 Ratings & 7,185 Reviews","₹50,999","256 GB ROM,  11.94 cm (4.7 inch) Retina HD Display,  12MP Rear Camera | 7MP Front Camera,  A13 Bionic Chip with 3rd Gen Neural Engine Processor,  Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),  Fast Charge Capable,  Wireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately,  Brand Warranty for 1 Year"
33,"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)","82,341 Ratings & 7,185 Reviews","₹50,999","256 GB ROM,  11.94 cm (4.7 inch) Retina HD Display,  12MP Rear Camera | 7MP Front Camera,  A13 Bionic Chip with 3rd Gen Neural Engine Processor,  Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),  Fast Charge Capable,  Wireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately,  Brand Warranty for 1 Year"
34,"Apple iPhone 12 Mini (Black, 64 GB)",415 Ratings & 37 Reviews,"₹69,900","64 GB ROM,  13.72 cm (5.4 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
35,"Apple iPhone 12 Pro (Silver, 128 GB)",388 Ratings & 29 Reviews,"₹1,19,900","128 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield | IP68 Water Resistance,  All Screen OLED Display,  LiDAR Scanner for Improved AR Experiences,  Brand Warranty for 1 Year"
36,"Apple iPhone 12 (Black, 128 GB)","1,100 Ratings & 97 Reviews","₹84,900","128 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
37,"Apple iPhone 12 Pro Max (Pacific Blue, 128 GB)",382 Ratings & 34 Reviews,"₹1,29,900","128 GB ROM,  17.02 cm (6.7 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield | IP68 Water Resistance,  All Screen OLED Display,  LiDAR Scanner for Improved AR Experiences,  Brand Warranty for 1 Year"
38,"Apple iPhone 12 Mini (Black, 128 GB)",415 Ratings & 37 Reviews,"₹74,900","128 GB ROM,  13.72 cm (5.4 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
39,"Apple iPhone 12 (Green, 128 GB)","1,100 Ratings & 97 Reviews","₹84,900","128 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
40,"Apple iPhone 12 (Red, 64 GB)","1,100 Ratings & 97 Reviews","₹79,900","64 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
41,"Apple iPhone 11 Pro (Midnight Green, 512 GB)","6,342 Ratings & 469 Reviews","₹1,17,900","512 GB ROM,  14.73 cm (5.8 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty for 1 Year"
42,"Apple iPhone 12 (White, 64 GB)","1,100 Ratings & 97 Reviews","₹79,900","64 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
43,"Apple iPhone 7 Plus (Black, 32 GB)","29,403 Ratings & 3,014 Reviews","₹37,900","32 GB ROM,  13.94 cm (5.488 inch) Retina HD Display,  12MP + 12MP | 7MP Front Camera,  Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
44,"Apple iPhone 12 Mini (Blue, 128 GB)",415 Ratings & 37 Reviews,"₹74,900","128 GB ROM,  13.72 cm (5.4 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
45,"Apple iPhone 12 Pro (Graphite, 128 GB)",388 Ratings & 29 Reviews,"₹1,19,900","128 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield | IP68 Water Resistance,  All Screen OLED Display,  LiDAR Scanner for Improved AR Experiences,  Brand Warranty for 1 Year"
46,"Apple iPhone 12 Pro Max (Graphite, 128 GB)",382 Ratings & 34 Reviews,"₹1,29,900","128 GB ROM,  17.02 cm (6.7 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield | IP68 Water Resistance,  All Screen OLED Display,  LiDAR Scanner for Improved AR Experiences,  Brand Warranty for 1 Year"
47,"Apple iPhone XS (Space Grey, 64 GB)","11,866 Ratings & 871 Reviews","₹89,900","64 GB ROM,  14.73 cm (5.8 inch) Super Retina HD Display,  12MP + 12MP | 7MP Front Camera,  A12 Bionic Chip Processor,  1 Year Limited Warranty for Products and Accessories"
